State,LGA,Ward,PU-Code,,,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-008,,,"PRIMARY SCHOOL, AMECHI I",146,958,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,135,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3365/ward/20545/pu/39670/39670-1677504756.pdf
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-009,,,"PRIMARY SCHOOL, AMECHI II",119,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,106,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39661/result_157709_1677577473_thumb.jpg
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-010,,,"PRIMARY SCHOOL, AMECHI III",172,1057,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,5,150,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3365/ward/20545/pu/39672/39672-1677543916.pdf
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-018,,,"PRIMARY SCHOOL, AMECHI XI",100,784,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,96,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39670/result_157718_1677580999_thumb.jpg
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-021,,,"IMO TRANSPORT COMPANY, 360 AGBANI ROAD IX",119,965,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,117,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3365/ward/20545/pu/39683/39683-1677540799.pdf
ENUGU,ENUGU SOUTH,AMECHI II,14-05-02-001,,,C.P.S. AMECHI I,0,844,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,98,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39674/result_157737_1677599652_thumb.jpg
ENUGU,ENUGU SOUTH,OBEAGU I,14-05-03-008,,,ANIANYA VILLAGE SQUARE II,21,505,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,17,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39697/result_157775_1677578067_thumb.jpg
ENUGU,ENUGU SOUTH,UWANI EAST,14-05-04-004,,,"ST. MARY'S, BIGARD I",217,835,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,211,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39704/result_157786_1677572517_thumb.jpg
ENUGU,ENUGU SOUTH,AWKUNANAW EAST,14-05-08-004,,,"UNION SECONDARY SCHOOL, AWKUNANAW IV",192,929,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39775/result_157910_1677576028_thumb.jpg
ENUGU,ENUGU SOUTH,AKWUKE,14-05-12-007,,,ENTRACO BUS TERMINUS GARRIKI II,167,1189,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,163,1,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39827/result_157983_1677571355_thumb.jpg
